Line	Date	Time	SpectrumFile	LibraryFile	Water vapor H2O	Unit	 Compensation	 Residual	Carbon dioxide CO2	Unit	 Compensation	 Residual	Methane CH4	Unit	 Compensation	 Residual	Nitrous oxide N2O	Unit	 Compensation	 Residual	 Status
0	2019-06-03	10:22:18		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  0.67	vol-%	wet	0.0023	340.40	ppm	dry	0.0024	  1.77	ppm	dry	0.0016	  0.24	ppm	dry	0.0015	OK
0	2019-06-03	10:22:24		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  0.69	vol-%	wet	0.0024	350.65	ppm	dry	0.0025	  1.77	ppm	dry	0.0016	  0.24	ppm	dry	0.0017	OK
0	2019-06-03	10:22:30		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  0.67	vol-%	wet	0.0025	356.63	ppm	dry	0.0023	  1.80	ppm	dry	0.0017	  0.26	ppm	dry	0.0017	OK
0	2019-06-03	10:22:36		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  0.68	vol-%	wet	0.0024	361.75	ppm	dry	0.0026	  1.78	ppm	dry	0.0017	  0.26	ppm	dry	0.0016	OK
0	2019-06-03	10:22:42		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  0.67	vol-%	wet	0.0023	362.73	ppm	dry	0.0024	  1.82	ppm	dry	0.0016	  0.26	ppm	dry	0.0017	OK
0	2019-06-03	10:22:48		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  0.68	vol-%	wet	0.0022	361.13	ppm	dry	0.0024	  1.86	ppm	dry	0.0015	  0.26	ppm	dry	0.0017	OK
0	2019-06-03	10:22:54		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  0.69	vol-%	wet	0.0024	361.58	ppm	dry	0.0024	  1.90	ppm	dry	0.0015	  0.26	ppm	dry	0.0017	OK
0	2019-06-03	10:23:00		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  0.69	vol-%	wet	0.0024	361.62	ppm	dry	0.0026	  1.86	ppm	dry	0.0015	  0.27	ppm	dry	0.0018	OK
0	2019-06-03	10:23:06		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  0.69	vol-%	wet	0.0026	361.66	ppm	dry	0.0025	  1.92	ppm	dry	0.0016	  0.27	ppm	dry	0.0017	OK
0	2019-06-03	10:23:12		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  0.68	vol-%	wet	0.0024	362.72	ppm	dry	0.0025	  1.93	ppm	dry	0.0016	  0.27	ppm	dry	0.0016	OK
0	2019-06-03	10:23:18		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  0.67	vol-%	wet	0.0025	362.98	ppm	dry	0.0026	  1.85	ppm	dry	0.0017	  0.26	ppm	dry	0.0017	OK
0	2019-06-03	10:23:24		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  0.65	vol-%	wet	0.0024	364.32	ppm	dry	0.0025	  1.84	ppm	dry	0.0016	  0.25	ppm	dry	0.0017	OK
0	2019-06-03	10:23:30		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  0.64	vol-%	wet	0.0022	364.20	ppm	dry	0.0025	  1.84	ppm	dry	0.0015	  0.26	ppm	dry	0.0018	OK
0	2019-06-03	10:23:36		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  0.64	vol-%	wet	0.0023	364.28	ppm	dry	0.0025	  1.88	ppm	dry	0.0015	  0.26	ppm	dry	0.0017	OK
0	2019-06-03	10:23:42		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  0.65	vol-%	wet	0.0024	363.62	ppm	dry	0.0025	  1.88	ppm	dry	0.0019	  0.27	ppm	dry	0.0017	OK
0	2019-06-03	10:23:48		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  0.65	vol-%	wet	0.0023	363.75	ppm	dry	0.0024	  1.87	ppm	dry	0.0016	  0.27	ppm	dry	0.0016	OK
0	2019-06-03	10:23:54		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  0.64	vol-%	wet	0.0025	365.13	ppm	dry	0.0025	  1.88	ppm	dry	0.0016	  0.26	ppm	dry	0.0017	OK
0	2019-06-03	10:24:00		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  0.61	vol-%	wet	0.0024	365.98	ppm	dry	0.0025	  1.90	ppm	dry	0.0016	  0.25	ppm	dry	0.0017	OK
0	2019-06-03	10:24:06		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  0.60	vol-%	wet	0.0025	367.26	ppm	dry	0.0025	  1.90	ppm	dry	0.0015	  0.26	ppm	dry	0.0016	OK
0	2019-06-03	10:24:12		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  0.60	vol-%	wet	0.0024	365.44	ppm	dry	0.0025	  1.84	ppm	dry	0.0014	  0.25	ppm	dry	0.0016	OK
0	2019-06-03	10:24:18		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  0.62	vol-%	wet	0.0024	365.06	ppm	dry	0.0026	  1.92	ppm	dry	0.0015	  0.27	ppm	dry	0.0016	OK
0	2019-06-03	10:24:24		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  0.64	vol-%	wet	0.0022	365.05	ppm	dry	0.0025	  1.90	ppm	dry	0.0015	  0.26	ppm	dry	0.0016	OK
0	2019-06-03	10:24:30		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  0.67	vol-%	wet	0.0026	366.17	ppm	dry	0.0024	  1.92	ppm	dry	0.0015	  0.25	ppm	dry	0.0018	OK
0	2019-06-03	10:24:36		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  0.71	vol-%	wet	0.0026	366.35	ppm	dry	0.0025	  1.85	ppm	dry	0.0018	  0.25	ppm	dry	0.0017	OK
