"TIME","PAR(umol/m2/s)","T(C)","P(hPa)","RH(%)"
2019-06-17 09:36:27,186.51,31.08,950.90,57.87
2019-06-17 09:36:37,188.24,30.56,1002.74,58.62
2019-06-17 09:36:47,189.61,30.54,1002.74,59.09
2019-06-17 09:36:57,193.08,30.51,1002.79,59.31
2019-06-17 09:37:07,199.31,30.48,1002.78,59.60
2019-06-17 09:37:17,203.90,30.45,1002.75,59.86
2019-06-17 09:37:27,210.18,30.43,1002.74,59.78
2019-06-17 09:37:37,206.31,30.41,1002.72,60.04
2019-06-17 09:37:47,204.11,30.38,1002.73,60.15
2019-06-17 09:37:57,200.38,30.36,1002.73,60.29
2019-06-17 09:38:07,199.28,30.34,1002.72,60.47
2019-06-17 09:38:17,199.60,30.32,1002.73,60.76
2019-06-17 09:38:27,202.44,30.30,1002.72,60.85
2019-06-17 09:38:37,203.25,30.27,1002.73,61.10
2019-06-17 09:38:47,198.11,30.25,1002.72,61.06
2019-06-17 09:38:57,199.15,30.23,1002.77,61.08
2019-06-17 09:39:07,203.55,30.20,1002.77,61.17
2019-06-17 09:39:17,202.49,30.18,1002.77,61.23
2019-06-17 09:39:27,202.33,30.16,1002.74,61.41
2019-06-17 09:39:37,200.17,30.14,1002.77,61.48
2019-06-17 09:39:47,1371.21,30.12,1002.75,61.78
2019-06-17 09:39:57,1351.06,30.12,1002.73,62.07
2019-06-17 09:40:07,1333.90,30.13,1002.74,62.21
2019-06-17 09:40:17,1322.44,30.13,1002.73,62.46
2019-06-17 09:40:27,1321.00,30.16,1002.73,62.70
2019-06-17 09:40:37,1330.38,30.17,1002.72,62.69
2019-06-17 09:40:47,1360.53,30.19,1002.74,63.25
2019-06-17 09:40:57,1393.32,30.20,1002.75,63.62
2019-06-17 09:41:07,1411.74,30.23,1002.73,63.77
2019-06-17 09:41:17,1412.60,30.25,1002.71,64.08
2019-06-17 09:41:27,1423.11,30.27,1002.77,64.22
2019-06-17 09:41:37,1433.40,30.30,1002.69,64.38
2019-06-17 09:41:47,1458.04,30.32,1002.75,64.75
2019-06-17 09:41:57,1458.09,30.35,1002.72,64.88
2019-06-17 09:42:07,1466.56,30.38,1002.72,65.19
2019-06-17 09:42:17,1780.10,30.40,1002.71,63.74
2019-06-17 09:42:27,1784.86,30.40,1002.73,56.23
2019-06-17 09:42:37,1776.88,30.41,1002.70,53.62
2019-06-17 10:02:40,1826.01,30.22,952.16,46.12
2019-06-17 10:02:50,1810.19,29.69,1002.64,46.03
2019-06-17 10:03:00,1511.29,29.68,1002.57,45.70
2019-06-17 10:03:10,1479.91,29.67,1002.62,46.15
2019-06-17 10:03:20,1143.38,29.67,1002.58,47.82
2019-06-17 10:03:30,255.33,29.66,1002.59,49.29
2019-06-17 10:03:40,258.57,29.64,1002.56,50.38
2019-06-17 10:03:50,261.42,29.60,1002.58,51.44
2019-06-17 10:04:00,263.06,29.56,1002.59,52.25
2019-06-17 10:04:10,264.61,29.53,1002.59,52.71
2019-06-17 10:04:20,267.57,29.48,1002.61,53.28
2019-06-17 10:04:30,270.73,29.43,1002.59,53.79
2019-06-17 10:04:40,274.72,29.39,1002.58,54.49
2019-06-17 10:04:50,278.12,29.35,1002.62,55.03
2019-06-17 10:05:00,281.37,29.30,1002.60,55.59
2019-06-17 10:05:10,281.22,29.28,1002.61,55.75
2019-06-17 10:05:20,277.87,29.24,1002.63,55.95
2019-06-17 10:05:30,276.98,29.19,1002.63,56.34
2019-06-17 10:05:40,279.26,29.15,1002.60,56.64
